(121, 222)
(201, 230)
(207, 209)
(218, 209)
(233, 228)
(207, 218)
(121, 261)
(222, 261)
(148, 232)
(209, 218)
(259, 103)
(198, 233)
(199, 198)
(208, 201)
(63, 36)
(233, 230)
(199, 207)
(148, 143)
(208, 228)
(201, 198)
(198, 208)
(201, 207)
(199, 209)
(199, 218)
(228, 199)
(208, 230)
(228, 208)
(206, 205)
(198, 201)
(103, 259)
(233, 198)
(201, 209)
(233, 207)
(7, 206)
(230, 199)
(198, 228)
(222, 121)
(228, 201)
(108, 29)
(169, 206)
(233, 209)
(207, 199)
(218, 199)
(198, 230)
(208, 198)
(233, 218)
(207, 208)
(94, 66)
(208, 207)
(218, 208)
(169, 7)
(209, 199)
(36, 63)
(63, 136)
(207, 201)
(218, 201)
(228, 233)
(232, 11)
(208, 209)
(208, 218)
(232, 148)
(230, 233)
(198, 207)
(143, 11)
(201, 218)
(230, 208)
(143, 148)
(29, 108)
(7, 169)
(136, 63)
(205, 206)
(207, 233)
(218, 233)
(198, 209)
(11, 148)
(261, 222)
(198, 218)
(205, 169)
(209, 233)
(230, 201)
(205, 7)
(232, 143)
(230, 228)
(143, 232)
(233, 199)
(233, 208)
(209, 208)
(228, 230)
(11, 232)
(206, 7)
(207, 228)
(218, 228)
(11, 143)
(233, 201)
(199, 233)
(209, 201)
(208, 199)
(209, 228)
(201, 233)
(199, 208)
(215, 85)
(207, 230)
(218, 230)
(228, 198)
(228, 207)
(201, 199)
(201, 208)
(7, 205)
(209, 230)
(230, 198)
(230, 207)
(261, 121)
(199, 201)
(198, 199)
(199, 228)
(228, 209)
(85, 215)
(228, 218)
(169, 205)
(206, 169)
(207, 198)
(218, 198)
(201, 228)
(218, 207)
(230, 209)
(209, 198)
(148, 11)
(230, 218)
(208, 233)
(199, 230)
(209, 207)
(66, 94)
